epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13045.6,0.41701,1.12365,1.1432,0.30965,1,0.38971,0.30307,0.71526,1.22584,1.42766,0.00643101,0.00643101,0.00643101
43,13354.5,0.41229,1.12811,1.13432,0.33219,1,0.37656,0.2934,0.81172,1.13564,1.59278,0.00628101,0.00628101,0.00628101
44,13664,0.42677,1.12273,1.15623,0.32267,1,0.42396,0.34881,0.75787,1.16235,1.3584,0.00612981,0.00612981,0.00612981
45,13972.7,0.40278,1.11537,1.13615,0.33747,0.98918,0.42782,0.36037,0.6104,1.15669,1.26666,0.00597754,0.00597754,0.00597754
46,14280.8,0.39925,1.11564,1.12958,0.3239,1,0.3877,0.31466,0.7102,1.14249,1.29486,0.00582435,0.00582435,0.00582435
47,14588.8,0.38851,1.12083,1.11867,0.33081,1,0.3998,0.33333,0.68232,1.16535,1.35807,0.0056704,0.0056704,0.0056704
48,14895.9,0.39496,1.11606,1.13917,0.32593,1,0.40389,0.33867,0.75638,1.20507,1.3315,0.00551584,0.00551584,0.00551584
49,15203.9,0.36365,1.11529,1.10853,0.32511,1,0.38965,0.32351,0.69371,1.13545,1.3276,0.00536081,0.00536081,0.00536081
50,15514.9,0.37579,1.11542,1.11316,0.33212,0.98718,0.41135,0.36103,0.60076,1.14925,1.18713,0.00520548,0.00520548,0.00520548
51,15824.5,0.37005,1.11073,1.12191,0.33042,0.9883,0.40674,0.36241,0.59354,1.16039,1.19728,0.00505,0.00505,0.00505
52,16132.8,0.37242,1.123,1.11512,0.33193,0.99864,0.3865,0.33815,0.59138,1.17929,1.2135,0.00489452,0.00489452,0.00489452
53,16441.8,0.37041,1.1201,1.11601,0.32941,1,0.40314,0.34149,0.55323,1.13037,1.10696,0.00473919,0.00473919,0.00473919
54,16750.1,0.3797,1.10837,1.13904,0.32693,1,0.38087,0.33242,0.57647,1.15271,1.20197,0.00458416,0.00458416,0.00458416
55,17059.6,0.37387,1.10496,1.11951,0.32769,1,0.38575,0.33004,0.62163,1.10305,1.21256,0.0044296,0.0044296,0.0044296
56,17369.2,0.37324,1.10036,1.1159,0.32851,0.99502,0.3972,0.34206,0.62419,1.13469,1.22832,0.00427565,0.00427565,0.00427565
57,17679.5,0.36628,1.1011,1.10284,0.33026,0.99405,0.44873,0.40159,0.50013,1.11665,1.0658,0.00412246,0.00412246,0.00412246
58,17988.5,0.35037,1.09486,1.09814,0.3287,1,0.41625,0.36348,0.61759,1.1214,1.21951,0.00397019,0.00397019,0.00397019
59,18299.9,0.36546,1.09384,1.13049,0.33472,1,0.42327,0.37244,0.57012,1.1315,1.20727,0.00381899,0.00381899,0.00381899
60,18611.8,0.35558,1.09087,1.10915,0.33441,1,0.41919,0.36872,0.56052,1.12,1.14809,0.00366899,0.00366899,0.00366899
61,18922.2,0.35278,1.10222,1.10652,0.33093,1,0.42505,0.3672,0.57815,1.13003,1.19248,0.00352037,0.00352037,0.00352037
62,19232.2,0.35278,1.0886,1.11083,0.33316,1,0.4076,0.35343,0.56559,1.1017,1.14806,0.00337325,0.00337325,0.00337325
63,19540.4,0.34461,1.09334,1.10204,0.32886,0.96782,0.3976,0.3413,0.56923,1.14837,1.15207,0.00322778,0.00322778,0.00322778
64,19851.1,0.33202,1.09042,1.09472,0.32755,1,0.39954,0.35498,0.5143,1.10241,1.07377,0.00308412,0.00308412,0.00308412
65,20160.3,0.33752,1.09636,1.09786,0.32533,0.97271,0.43209,0.38901,0.5229,1.09772,1.07482,0.00294239,0.00294239,0.00294239
66,20470,0.3332,1.08841,1.0984,0.32796,1,0.4372,0.39377,0.47372,1.08591,1.03907,0.00280275,0.00280275,0.00280275
67,20778.3,0.34123,1.08942,1.10796,0.33347,0.96419,0.41562,0.37069,0.53037,1.09793,1.08782,0.00266532,0.00266532,0.00266532
68,21087.9,0.3292,1.08279,1.08976,0.32503,1,0.47193,0.41923,0.54822,1.13484,1.12746,0.00253024,0.00253024,0.00253024
69,21400.7,0.3225,1.0813,1.0985,0.33127,0.99998,0.4616,0.40637,0.50738,1.10565,1.09742,0.00239766,0.00239766,0.00239766
70,21711.8,0.31018,1.07779,1.07895,0.32943,1,0.44091,0.38732,0.54458,1.10991,1.15045,0.00226769,0.00226769,0.00226769
71,22023.1,0.31473,1.08301,1.07135,0.32812,1,0.44287,0.39552,0.5444,1.12481,1.11251,0.00214046,0.00214046,0.00214046
72,22332.4,0.30344,1.08071,1.08804,0.33125,0.97436,0.4629,0.41233,0.55749,1.12583,1.13917,0.00201611,0.00201611,0.00201611
73,22641.4,0.30934,1.07779,1.07576,0.33119,0.98851,0.48927,0.42051,0.5355,1.10563,1.07075,0.00189475,0.00189475,0.00189475
74,22948.4,0.32398,1.0822,1.09451,0.32787,1,0.47145,0.42048,0.53828,1.09981,1.08916,0.00177651,0.00177651,0.00177651
75,23256.8,0.30988,1.07449,1.07536,0.329,0.98851,0.45938,0.40027,0.54537,1.09618,1.08635,0.00166149,0.00166149,0.00166149
76,23565.9,0.31531,1.07252,1.07959,0.33257,1,0.47631,0.42523,0.50848,1.08702,1.05948,0.00154982,0.00154982,0.00154982
77,23875.4,0.31677,1.07489,1.08145,0.32642,0.98851,0.47079,0.42069,0.51635,1.09106,1.05639,0.00144161,0.00144161,0.00144161
78,24182.4,0.31292,1.0682,1.09128,0.36241,0.90659,0.51405,0.46022,0.51113,1.07655,1.04459,0.00133695,0.00133695,0.00133695
79,24494.2,0.31754,1.07291,1.09656,0.4166,0.8738,0.46688,0.42011,0.49884,1.0655,1.03702,0.00123596,0.00123596,0.00123596
80,24804.7,0.29549,1.06376,1.05719,0.34271,0.95402,0.49973,0.4488,0.50639,1.0924,1.05672,0.00113873,0.00113873,0.00113873
81,25114.9,0.28907,1.06003,1.06348,0.34778,0.95112,0.48793,0.42689,0.4991,1.10577,1.0321,0.00104537,0.00104537,0.00104537
82,25424.3,0.28698,1.06995,1.06549,0.36852,0.91954,0.5103,0.45008,0.48277,1.09022,1.00192,0.000955951,0.000955951,0.000955951
83,25735.8,0.29865,1.06575,1.07077,0.35141,0.93103,0.48991,0.42983,0.49898,1.09297,1.02573,0.000870577,0.000870577,0.000870577
84,26044.2,0.28371,1.06424,1.07005,0.32961,1,0.45409,0.40213,0.5131,1.1065,1.06736,0.000789327,0.000789327,0.000789327
